num :,element :,name :,str3 :,tc :,lata :,latb :,latc :,refno :,ma1 :,ma2 :,mb1 :,mb2 :,mc1 :,mc2 :,md1 :,md2 :,me1 :,me2 :,mf1 :,mf2 :,mg1 :,mg2 :,mh1 :,mh2 :,mi1 :,mi2 :,mo1 :,mo2 :,oz :,composition :
156006,La1Fe1As1H0.41O0.59,"LaFeAs(O,H)",oxypnictide,19.5,,,,NAP0100300,La,1.0,Fe,1.0,As,1.0,H,0.41,,,,,,,,,,,O,0.59,,La1.0Fe1.0As1.0H0.41O0.59
156007,La1Fe1As1H0.4O0.6,"LaFeAs(O,H)",oxypnictide,23.9,,,,NAP0100300,La,1.0,Fe,1.0,As,1.0,H,0.4,,,,,,,,,,,O,0.6,,La1.0Fe1.0As1.0H0.4O0.6
156037,La1Fe1As1F0.05O0.95,"LaFeAs(O,F)",oxypnictide,14.5,,,,JPS080044704,La,1.0,Fe,1.0,As,1.0,F,0.05,,,,,,,,,,,O,0.95,,La1.0Fe1.0As1.0F0.05O0.95
156038,La1Fe1As1F0.08O0.92,"LaFeAs(O,F)",oxypnictide,22.8,,,,JPS080044704,La,1.0,Fe,1.0,As,1.0,F,0.08,,,,,,,,,,,O,0.92,,La1.0Fe1.0As1.0F0.08O0.92
156039,La1Fe1As1F0.1O0.9,"LaFeAs(O,F)",oxypnictide,25.2,,,,JPS080044704,La,1.0,Fe,1.0,As,1.0,F,0.1,,,,,,,,,,,O,0.9,,La1.0Fe1.0As1.0F0.1O0.9
156040,La1Fe1As1F0.11O0.89,"LaFeAs(O,F)",oxypnictide,22.9,,,,JPS080044704,La,1.0,Fe,1.0,As,1.0,F,0.11,,,,,,,,,,,O,0.89,,La1.0Fe1.0As1.0F0.11O0.89
156041,La1Fe1As1F0.14O0.86,"LaFeAs(O,F)",oxypnictide,12.9,,,,JPS080044704,La,1.0,Fe,1.0,As,1.0,F,0.14,,,,,,,,,,,O,0.86,,La1.0Fe1.0As1.0F0.14O0.86
156068,La1Fe1As0.6P0.4F0.1O0.9,"LaFe(As,P)(O,F)",oxypnictide,27.0,4.002,,,PRB089064511,La,1.0,Fe,1.0,As,0.6,P,0.4,F,0.1,,,,,,,,,O,0.9,,La1.0Fe1.0As0.6P0.4F0.1O0.9
156071,La1Fe1As0.6P0.4F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,19.0,4.011,,,PRB089064511,La,1.0,Fe,1.0,As,0.6,P,0.4,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.6P0.4F0.05O0.95
156072,La1Fe1As0.4P0.6F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,24.0,,,,PRB089064511,La,1.0,Fe,1.0,As,0.4,P,0.6,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.4P0.6F0.05O0.95
156076,La1Fe1As0.15P0.85O1,"LaFe(As,P)O",oxypnictide,11.67,3.9819,,8.5493,PRB090064504,La,1.0,Fe,1.0,As,0.15,P,0.85,,,,,,,,,,,O,1.0,,La1.0Fe1.0As0.15P0.85O1.0
156077,La1Fe1As0.2P0.8O1,"LaFe(As,P)O",oxypnictide,11.42,3.9846,,8.556000000000001,PRB090064504,La,1.0,Fe,1.0,As,0.2,P,0.8,,,,,,,,,,,O,1.0,,La1.0Fe1.0As0.2P0.8O1.0
