num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :,layers :,types :,cu-o_a :,cid :,cu-o_p :
12155,La1.79Sr0.21Cu0.96Mn0.04O4.0,T,37.0,3.7808,,13.1964,PHC4210056,"Changjin Zhang, Hui Huang, Min Tan, Yuheng Zhang,",Effects of Mn doping on the superconductivity in La2-xSrxCuO4,"Physica C, 421(2005)56",2005.0,3.7808,One,RE,2.402280674733872,0.0,1.8904
12167,Hg1.4Tl0.6Ba2.0Y0.6Ca0.4Cu2.0O7.78,Hg2212,84.6,3.857,,28.99,PHC2820887,"A.Tokiwa-Yamamoto, K.Tanabe, S.Adachi, T.Tatsuki, X.-J.Wu,","A new Hg-based homologous series of cuprate superconductors; (Hg,Tl)-22(n-1)n (n=1,5)","Physica C, 282-287(1997)887",1997.0,3.857,Two,Hg,2.4655807955699176,0.0,1.9285
12254,Hg0.5Fe0.5Sr2.0Y0.4Ca0.6Cu2.0O6.67,Hg1212,77.5,3.8196,,11.8772,PHC4220102,"Elsayed Kandyel,","Synthesis, structural and transport properties of (Hg,Fe)-1212 superconducting cuprate","Physica C, 422(2005)102",2005.0,3.8196,Two,Hg,2.2062127148823674,0.0,1.9098
12300,Yb1.0Ba2.0Cu3.0O7.0,RE123,91.3,3.877,3.801,11.646,PR05315245,"M.G. Berger, O. Glu""ck, S.S. Ata-Allah, Yunhui Xu,","Rare-earth ion size effect on resistivity, susceptibility, and superconductivity of RBa2Cu3-xZnxO7-y (R=Yb, Er, Y, Dy, Gd, Eu, Sm, and Nd)","Phys.Rev.53,(1996)15245",1996.0,3.877,Two,RE,2.229962508981574,1.0,1.9385
12301,Yb1.0Ba2.0Cu2.99Zn0.01O7.0,RE123,87.8,3.869,3.801,11.656,PR05315245,"M.G. Berger, O. Glu""ck, S.S. Ata-Allah, Yunhui Xu,","Rare-earth ion size effect on resistivity, susceptibility, and superconductivity of RBa2Cu3-xZnxO7-y (R=Yb, Er, Y, Dy, Gd, Eu, Sm, and Nd)","Phys.Rev.53,(1996)15245",1996.0,3.869,Two,RE,2.254155222742348,1.0,1.9345
12306,Er1.0Ba2.0Cu3.0O7.0,RE123,93.1,3.878,3.809,11.655,PR05315245,"M.G. Berger, O. Glu""ck, S.S. Ata-Allah, Yunhui Xu,","Rare-earth ion size effect on resistivity, susceptibility, and superconductivity of RBa2Cu3-xZnxO7-y (R=Yb, Er, Y, Dy, Gd, Eu, Sm, and Nd)","Phys.Rev.53,(1996)15245",1996.0,3.878,Two,RE,2.23561447581375,1.0,1.939
12307,Er1.0Ba2.0Cu2.99Zn0.01O7.0,RE123,89.8,3.879,3.808,11.659,PR05315245,"M.G. Berger, O. Glu""ck, S.S. Ata-Allah, Yunhui Xu,","Rare-earth ion size effect on resistivity, susceptibility, and superconductivity of RBa2Cu3-xZnxO7-y (R=Yb, Er, Y, Dy, Gd, Eu, Sm, and Nd)","Phys.Rev.53,(1996)15245",1996.0,3.879,Two,RE,2.2370342201814055,1.0,1.9395
12314,Y1.0Ba2.0Cu3.0O7.0,Y123,93.4,3.886,3.818,11.669,PR05315245,"M.G. Berger, O. Glu""ck, S.S. Ata-Allah, Yunhui Xu,","Rare-earth ion size effect on resistivity, susceptibility, and superconductivity of RBa2Cu3-xZnxO7-y (R=Yb, Er, Y, Dy, Gd, Eu, Sm, and Nd)","Phys.Rev.53,(1996)15245",1996.0,3.886,Two,RE,2.334243051701609,0.0,1.943
12322,Dy1.0Ba2.0Cu3.0O7.0,RE123,95.1,3.894,3.836,11.684,PR05315245,"M.G. Berger, O. Glu""ck, S.S. Ata-Allah, Yunhui Xu,","Rare-earth ion size effect on resistivity, susceptibility, and superconductivity of RBa2Cu3-xZnxO7-y (R=Yb, Er, Y, Dy, Gd, Eu, Sm, and Nd)","Phys.Rev.53,(1996)15245",1996.0,3.894,Two,RE,2.2287048284445383,0.0,1.947
12323,Dy1.0Ba2.0Cu2.99Zn0.01O7.0,RE123,89.5,3.889,3.826,11.673,PR05315245,"M.G. Berger, O. Glu""ck, S.S. Ata-Allah, Yunhui Xu,","Rare-earth ion size effect on resistivity, susceptibility, and superconductivity of RBa2Cu3-xZnxO7-y (R=Yb, Er, Y, Dy, Gd, Eu, Sm, and Nd)","Phys.Rev.53,(1996)15245",1996.0,3.889,Two,RE,2.229224107042414,1.0,1.9445
